mid,uid,content,time
4938040121760170,6571579403,"今天听到一个噩耗，我叔叔（我爸的亲弟弟）突然吐血进了医院，医院诊断是肝硬化加食道破裂，已经下了病危通知书，叔叔没交医保，自己也没什么钱，只能向我爸妈借，这么多年来我爸妈借给他的钱不计其数，包括他老婆去医院生孩子，还的确微乎其微，这一次我妈妈很生气，说什么也不准我爸再借钱给他，但是我知道，我妈只是刀子嘴，最终她还是会给的，毕竟已经危急到生命了，只是没有医保，巨额的医疗费用我们又能撑几天呢。我现在还没结婚，没生小孩，还没到下有小的时候，我都已经觉得压力很大了，虽然很不喜欢现在的工作，但也不敢随意辞职，真的不敢想象，到了中年危机，上有老下有小的时候，是怎样一番光景，我是一个很自私的人，实在不想背负太多的压力过一辈子，我想我以后都不会结婚生小孩了。
#年轻人恐婚恐育的真正原因是什么#",2023年08月23日 23:19
4936073732689665,6079800976,"恐婚恐育🙏
#当代青年有多恐婚恐育#
#年轻人恐婚恐育的真正原因是什么#",2023年08月18日 13:05
4935498596616834,7759009891,"#年轻人恐婚恐育的真正原因是什么#
不是不需要伴侣，也不是不想要伴侣，
而是想找到一位可以相互理解、相互关心、相互扶持的伴侣，一起度过人生的长路。
如果走着走着，出现了难以弥合的裂痕，也可以和平分手。
绝不想撞大运一样地无法把握自己的人生，绝不想给自己找个奴隶主。
而已。",2023年08月16日 23:00
4931757445222334,2165951311,"刷到这个话题和评论，女生真的好难啊
#年轻人恐婚恐育的真正原因是什么#

一个随时都能让我滚出的房子，一个除了自己对谁都和颜悦色的男人，一对没有血缘关系的父母，一个用前程和健康换来的孩子，一个离了我就有人来代替我位置的家。",2023年08月06日 15:14
4930015387194166,2683754043,"人间渣滓，这种败类就是社会隐患，中国什么时候才能有人性地对待动物！太痛心了。 我不想让我的孩子生活在这样的社会
#年轻人恐婚恐育的真正原因是什么#",2023年08月01日 19:52
4927111980911652,5091784159,"年龄比自己小的妹妹要订婚了
我甚至能想到自己每次回家会被催婚的场面
我应该要少回家了吧
我不知道自己到底想要什么
从小到大 一直都是个乖孩子 懂事的孩子
这样的词真的是好词吗
从来都是我理解别人 可是谁会来理解我呢
如果我向家人说了这句话 也只会遭到一句反驳
“这点事都承受不住 一点抗压能力都没有”
所以我选择不说
从小开始立志要好好学习
努力混了个研究生毕业
工作了也是打工 其实和当初一起上学时成绩没那么出色的同学相比 也没什么差别
现在这个时代 读书的人多了起来 不像当初只要肯读书就能得到更高的人生阶层来
所以最终还是被一句“你看看人家家的孩子”打败
倘若你觉得我不如任何人
又何必让我来到这个世间呢
望女成凤 多难啊 为什么把压力给到我身上
如果在我出生之前知道自己的成长处境
那我应该不会选择这样吧
我说出这样的话 又会被说不孝了吧
难道我的人生就只能是“读书 工作 结婚 生死 死亡” 这样的流程吗
#人生#

我好迷茫啊
现在的人生被工作填满了 甚至空下时间来以后我都不知道自己应该干点什么
关于婚姻  在我所见的婚姻里 充满了吵架 矛盾 付出 不满  我不想自己以后要过这样的生活
我甚至不想为任何人付出我的时间 精力和生命
有时怀疑自己是不是太自私了
也许是这样的
我不配成为任何一个人的伴侣
我只能付出那些对我来说不重要的东西
#年轻人恐婚恐育的真正原因是什么#",2023年07月24日 19:35
4926700120708509,6311937494,"#年轻人恐婚恐育的真正原因是什么#
让人恐婚的理由，绝对不会只有一个！",2023年07月23日 16:18
4925884785758676,2525795955,"#年轻人恐婚恐育的真正原因是什么#
//
@马库斯说
://
@ReyKjaviK一
:昨天长沙那个自己出轨，把妻子杀了，今天怀疑妻子出轨也杀妻子……",2023年07月21日 10:18
4925227321266862,6408764850,"恐婚 恐育
真的佩服那些怀孕生子做妈妈的人
#产后会阴裂伤真的像那个芒果吗#
#年轻人恐婚恐育的真正原因是什么#",2023年07月19日 14:46
4925199977288623,7498479893,"#产后会阴裂伤真的像那个芒果吗#
如果和宝妈姐妹讨论生育问题时，现场有年长于我的男性时，多数会得到一句：
“你别吓唬许多钱了！到时候她都不敢生了～”
又是一句“为你好”，隐藏真实情况，不许了解生产前中后的真实感受、闭眼进产房、签字权给老公，就会让未育女性大胆张开双腿拥抱仔仔了吗？
#年轻人恐婚恐育的真正原因是什么#",2023年07月19日 12:57
4923192228185582,7464797491,"注明：前不久一直刷到那些极端社会新闻
#年轻人恐婚恐育的真正原因是什么#

这些天一直在看一个综艺，所以脑袋里面萌生出了什么找男朋友、结婚、生小孩的想法。
然而就在刚刚，已经渐入梦乡的我脑袋里突然浮现出什么🔪人事件—什么丈夫持🔪鲨妻儿（是的没错，那个妻子是我）、陌生男子持🔪入室鲨人、大街上突然被陌生人暗鲨……真的吓得我早已闭上的眼睛拼了命的张开，入眼的是衣柜里一件长装，给我吓得半死。九敏啊，我是不是有被害妄想症了！又恐婚了……
#易烊千玺#
北哥快来保护我",2023年07月13日 23:59
4923133641106583,5245701408,"原生家庭的不幸福 需要我用一生来治愈
#年轻人恐婚恐育的真正原因是什么#",2023年07月13日 20:06
4923087374780071,1677706634,"结婚8年2娃，说点真话给恐婚恐育的女孩们…
首先婚姻，不是人人适合，也是不必须人人都要结婚的，
所以一定不要勉强自己。
如果你认可婚姻，还是想结婚，只是由于种种原因有点害怕结婚的话，这篇笔记可以继续往下看了。
我希望女孩们建立自己独立的价值观和判断，不拿别人的事情来做人生的参考！人各有路！少看毒鸡汤！
别人是在玩梗，你就当真了
我是26岁结婚，在结婚前我也很长时间充满了焦虑，会不由自主的放大两人生活中的摩擦，印象最深的就是因为老公下班后，跟哥们吃宵夜到凌晨2、3点，我也会在车上哭着打电话给闺蜜，说这婚没办法结，
那段时间就是想想结婚就心里压了块石头，难受！！
现在回想起来，特别理解，其实很多女生恐婚，是很多细节并没有互相聊透聊清楚，莫名其妙，稀里糊涂的被家长推着走，被结婚流程推着走（拍照、订酒席、扯证）。
昨天，跟我28岁的妹妹聊了一通宵，关于什么时候考虑跟男朋友进去婚姻的话题。
第一，关于经济条件，在婚前一定要敢谈物质条件。
首先请大家跟我默念三遍：婚前谈钱不是捞女！
很多女生都知道房、车和钱等物质条件很重要，但是不敢主动去谈。但是你们要知道，所有谈钱伤感情的关系都不是好关系，说明彼此的价值交换不等价，还不合适结婚。具体谈什么？
1.是否有房、没房的话打算什么时候买车买房，预算多少，谁来买？一起买的话比例怎么划分，最后怎么还贷？
2.关于彩礼和嫁妆，你们当地有什么习俗或父母的想法，是给老人养老还是作为新家的启动资金？
3.我们怎么分担家庭的支出，有哪些是固定支出？
4.我们婚礼在哪里办，办几场，费用怎么分担？
5.之后家里花什么钱需要共同商量，花什么钱不希望对方过度干涉？
第二，关于双方的人际关系。
结婚不比谈恋爱，不只是两个人的资源整合，还是两个家族的资源整合，如果双方阵营的利益谈不拢，说明还不适合结婚。
具体谈什么？
1.婚后是跟父母住还是独立小家庭？如果一定要合住，是长住还是短住？
2.双方父母甚至家族，对我们这桩婚事有什么想法？
3.婚后过年过节，去谁家拜访？还是各回各家？
第三，沟通家庭整体的分工合作。
结婚后两口子就是一个整体，要学会各取所长的提效降本，避免内耗。
如果两人在一起财力、精力都严重内耗，说明不适合结婚。具体谈什么？
1.家里大事小事分别谁说了算？
2.谁主外，谁主内，家务活怎么分担？
第四，提前沟通未来家庭的一些不确定风险并制定预案，免得发生问题时候因为猝不及防而发生不可调和的矛盾。
具体谈双方如何看待和处理不确定性所带来的风险。比如其中一个人失去失业了，怎么办？其中一个人工作地方临时调动，怎么办？如果我在拼事业，你是否愿意牺牲自己去支持我？
#婚姻#
#年轻人恐婚恐育的真正原因是什么#
#人生感悟#
#恋爱#
#恋爱#
#喜欢#
#致自己#
#家庭#
#自由#
#浪漫#",2023年07月13日 17:02
4922837478147828,5393305262,"求你别说了✋
#催婚#
#年轻人恐婚恐育的真正原因是什么#",2023年07月13日 00:29
4922822289263424,1061495920,"#年轻人恐婚恐育的真正原因是什么#
#恐婚#
中国年轻人恐婚现象日益突出，并引起国际舆论关注。
中国的结婚人数已连续九年下降，在不到10年的时间里已减少了一半。据政府上个月发布的数据，去年约有680万对夫妇登记结婚，是自1986年有记录以来的最低水平，远低于2013年的1350万对。
尽管2023年的登记结婚人数与上年相比有所增加，但离婚人数也在增加。今年第一季度，结婚人数比去年同期增加了4万对，离婚人数则增加了12.7万对。
随着城市女性的经济独立能力和受教育水平达到新高，对她们来说，婚姻从经济角度来看不再是必需的。男性说他们负担不起结婚的费用，他们指出，文化压力迫使他们在开始约会之前就必须拥有房屋和汽车。
过去三年的疫情加剧了这些压力，影响了许多年轻人对建立家庭的预期。
评论者指出，中国有关离婚和家庭暴力的法律有待完善，进一步加强对女性的保护。
分析显示，年龄在25到29岁的中国城市女性中，从未结过婚的比例已从2000年的8.6%上升到2020年的40.6%。
许多男性说，他们推迟婚姻是因为缺乏经济安全感。在政府实行独生子女政策（该政策已于2016年结束）的年代里，由于重男轻女现象严重，导致男性人口比女性人口多出了约3500万，加剧了婚姻的经济竞争感。",2023年07月12日 23:29
4921904680405650,5988712153,"#年轻人恐婚恐育的真正原因是什么#
真实的农村，现在农村女的找老公需要 一动不动，车和房➕彩礼18.8+两甩，不管父母而且父母得有养老金，房子车子无贷款，你会问为什么，我来告诉你，贷款买房娶老婆，在乡镇那里的小媳妇干服装厂，每年死十几个，怎么死的，我说是累死的，因为流水线，不喝水不尿尿，住了院就是尿毒症，得病了，住院了，死掉了，就结束了，心里也就松了一口气了，这个时代，没有钱，就得用命拼，不结婚就是保命保平安。",2023年07月10日 10:43
4920972434475694,3121548410,"#年轻人恐婚恐育的真正原因是什么#

又是恐婚恐育的一天
怕遇到没有担当的 妈宝男的 家暴男 冷暴力 精神/身体出轨的 长不大的 丧偶式婚姻的...
总有各种各样的问题 且不说教育教学，房子车子的消费。大部分的恐惧的在意的已经不是金钱方面的东西了。
希望我们首先是身体健康，其次是精神健康。
比起金钱物质的生活，我更希望能拥有精神物质。
伴侣提供稳定的情绪价值，两个人一起努力。
但是这个时代，真的很难很难遇到。",2023年07月07日 20:58
4920488746288085,5586826163,"恐婚女性到底在害怕什么？今晚8点直播，欢迎观看！

婚姻超话
#婚姻感情#
#恐婚#
#年轻人恐婚恐育的真正原因是什么#
#恐婚的年轻人究竟在怕什么#

2
北京·北京师范大学",2023年07月06日 12:56
4919367668601114,5285779666,"我的除了恐婚恐育外没有别的讨论话题的群聊们
#年轻人恐婚恐育的真正原因是什么#
#恐婚#
#哪一瞬间开始恐婚了#
#当代青年有多恐婚恐育#",2023年07月03日 10:41
4919351931572555,5666929142,"#为什么许多年轻人不想结婚#
民政部最近公布的数据，2022年，中国结婚登记683.3万对，较上一年减少80.3万对，这是民政部自1986年开始公布结婚登记数据以来的历史新低。如同一条抛物线，自2013年达到1346.93万对的顶峰后，中国结婚登记量连续9年下降，终于在2022年跌破700万对。你认为
#年轻人恐婚恐育的真正原因是什么#
？
为什么年轻人结婚意愿降低了？👀",2023年07月03日 09:39
4918803945232260,1663103970,"年轻人为啥都不结婚啊？
#年轻人恐婚恐育的真正原因是什么#

L
闪送员陈师傅陈涛的微博视频",2023年07月01日 21:21
4918360570070054,6246789392,"消失的她引恐婚危机，夫妻互害何其多？注意这一点，让你远离危机
#电影消失的她#

#年轻人恐婚恐育的真正原因是什么#

@微博视频

L
照理说事的微博视频",2023年06月30日 16:00
4918251697997250,7488529973,"#年轻人恐婚恐育的真正原因是什么#
我目前是一个孩子，我觉得我过得不苦但很难受，我不认为我的下一代会过得比我好，或是说我不敢保证我会有下一代。
我不敢用一场婚姻豪赌我的半辈子，见过太多纠纷和争吵，不止在新闻，也在我的身边",2023年06月30日 08:47
4918053081715959,6071913949,"#年轻人恐婚恐育的真正原因是什么#
单纯地因为出轨没有代价

房子我自己买，车我自己买，不需要高额彩礼，长得帅我还可以倒贴，但我没有信心找到一个不会出轨的男人。",2023年06月29日 19:38
4918021792204542,7330191769,"#年轻人恐婚恐育的真正原因是什么#

#电影消失的她#

#朱一龙消失的她#


朱一龙超话

#倪妮电影消失的她#
夫妻先后将对方送进精神病院：强行扎针、灌药、绑在床上，究竟谁有病？
发布了头条文章：《夫妻互相送对方进精神病院！现实版《消失的她》，最惊悚的是人心》
@搜狐财经

O
夫妻互相送对方进精神病院！现实版《消失的她》，最惊悚的是人心",2023年06月29日 17:33
4917984424362476,7726223039,#年轻人恐婚恐育的真正原因是什么#,2023年06月29日 15:05
4917902510132595,7831033111,"#年轻人恐婚恐育的真正原因是什么#
根本原因就是
1   原配妻子，没有基本保障
2  离婚了，有离婚冷静期
3   如果在婚姻期间，男方出轨，私生子，有继承权（同理，如果男方有问题，原配妻子，孩子会受影响，而，小三的孩子，不会受影响）
4  离婚了，原配妻子甚至分不到到任何钱，而小三的婚姻孩子都有，财产唾手可得
5 复杂的婆媳关系，也是一大难题。",2023年06月29日 09:39
4917606059870399,7442137948,"#年轻人恐婚恐育的真正原因是什么#
//
@无杏玉
:又双叒叕发生了杀妻案，从杭州分尸案，到泰国孕妇坠崖案，以及老婆孩子在天堂。和最近的被虐打终身挂粪袋女子。真的不得不恐婚，我的命就一条，喜欢擦亮眼的祝你真的能擦亮眼，我惜命，我退了",2023年06月28日 14:01
4917543536168663,5339538657,"
法律超话
已婚妇女要记住这三个电话：
1.如果你在经济上有困难，请不起律师，可以拨打12348寻求法律援助。
2.如果你在婚姻中受到伤害，可以打12338，寻求有关部门帮助。
3.如果你遇到了家暴，及时拨打110，并且保管好报警和接警的回执，配合好警察做笔录，这将成为你日后和对方离婚的有力证据。
via律师张大姐  感谢分享[锦鲤附体]
网友讨论~
#年轻人恐婚恐育的真正原因是什么#
，无论如何相关法律知识马住
#黄检普法#
@黄龙检察
传播法治人人学法

L
黄龙检察的微博视频",2023年06月28日 09:53
4917424128001839,6870740155,"父母不稳定的情绪，会深深影响下一代，然后形成恶性循环。所以为了不祸害下一代，不生积福
#年轻人恐婚恐育的真正原因是什么#",2023年06月28日 01:58
4917420257706356,1794219940,"#年轻人恐婚恐育的真正原因是什么#
当然是不想死啊！还有为什么",2023年06月28日 01:43
4917404533260519,7322299431,"……
#年轻人恐婚恐育的真正原因是什么#",2023年06月28日 00:41
4917368764236620,7503402836,"#年轻人恐婚恐育的真正原因是什么#
与我而言，我不恐婚。
若是有机会可以遇到对的人，我也希望可以和那个人度过余生。
但我恐育。
不只是因为养孩子的成本，还有我不确定我是否能够教养好一个孩子从小到大，让他/她成为对社会有贡献的人，让他/她的成长路上没有遗憾。",2023年06月27日 22:18
4917323045540483,5105877750,"#年轻人恐婚恐育的真正原因是什么#
婚姻和生育本身就是个人选择的问题，是很私人的事情，并非是人生的必选项。因为某篇新闻某部电影或社会舆论道听途说、产生被害妄想是很没有必要的事情，个体事件无法代表整体。爱情既不是玄学也不是缘分，爱情是一种科学信仰！马克思说过实践是检验真理的唯一标准，只有用开放、科学、实践的态度去对待两性关系、对待爱情和婚姻，才能实现自我突破，收获幸福人生。",2023年06月27日 19:17
4917225713309600,5617563098,"#年轻人恐婚恐育的真正原因是什么#
我看看谁还想结婚？
@水里兑酒",2023年06月27日 12:50
4917189432056201,1680071747,"你问我为什么不结婚？
我害怕男人出轨说谎
我害怕丧偶式带娃
我害怕男人不挣钱
我需要养孩子和男人
我更怕冷暴力分手和断崖式分手
我害怕男人吵架骂我打我
所以我至今不敢结婚生子
谁不想有个家有老公孩子？
但是我的恋爱经历至今让我恐婚恐育
妈妈说没事儿提前经历了这些
以后就不会了，希望吧
#为什么独生子女一定要结婚#
#为什么许多年轻人不想结婚#
#年轻人恐婚恐育的真正原因是什么#",2023年06月27日 10:26
4916995236039623,3087934690,"#年轻人恐婚恐育的真正原因是什么#
性价比低，还容易，爬山，看海底星空",2023年06月26日 21:34
4916993285953095,7202951666,"已婚妇女要记住这三个电话：
1.如果你在经济上有困难，请不起律师，可以拨打12348寻求法律援助。
2.如果你在婚姻中受到伤害，可以打12338，寻求有关部门帮助。
3.如果你遇到了家暴，及时拨打110，并且保管好报警和接警的回执，配合好警察做笔录，这将成为你日后和对方离婚的有力证据。
via律师张大姐
@法治四川
感谢分享[锦鲤附体]

网友讨论~
#年轻人恐婚恐育的真正原因是什么#
，无论如何相关法律知识马住


法姐讲法超话
#法姐讲法#

L
法治四川的微博视频",2023年06月26日 21:26
4916993243484402,5384801243,"已婚妇女要记住这三个电话：
1.如果你在经济上有困难，请不起律师，可以拨打12348寻求法律援助。
2.如果你在婚姻中受到伤害，可以打12338，寻求有关部门帮助。
3.如果你遇到了家暴，及时拨打110，并且保管好报警和接警的回执，配合好警察做笔录，这将成为你日后和对方离婚的有力证据。
via律师张大姐
@法治四川
感谢分享[锦鲤附体]

网友讨论~
#年轻人恐婚恐育的真正原因是什么#
，无论如何相关法律知识马住


法姐讲法超话
#法姐讲法#

L
法治四川的微博视频",2023年06月26日 21:26
4916984687107790,6586249048,"#年轻人恐婚恐育的真正原因是什么#
你没事吧你没事吧，“君子于其所不知盖阙如也”，不了解年轻人可以不发言，自己高高在上享受社会资源福利怎么会理解普通百姓的艰苦，这边建议闭麦。。。",2023年06月26日 20:52
4916970589783021,5461398144,"#年轻人恐婚恐育的真正原因是什么#
让你恐婚恐育的原因估计是见过太多，听过太多，加上自己的父母婚姻状态也是太理想，所以觉得大可不必吧！",2023年06月26日 19:56
4916966207002362,2632958050,"#年轻人恐婚恐育的真正原因是什么#
刚刷到的， 原来这就是年轻人恐婚恐育的根本原因。到底都是谁在制定这些条例啊",2023年06月26日 19:39
4916924147046289,3321890662,"#年轻人恐婚恐育的真正原因是什么#
希望208w们不要再输出你们那些狗屁观点了，没人想听谢谢。",2023年06月26日 16:52
4916912150024826,6055335459,"#年轻人恐婚恐育的真正原因是什么#
这边建议袁弘和张歆艺多生几个孩子，国家生育率靠娱乐圈拯救，反正他们来钱容易不说十个八个，四五个肯定没问题加油哦！",2023年06月26日 16:04
4916906211675048,2885334362,"#年轻人恐婚恐育的真正原因是什么#
啥也不是，讲的一堆废话，真的了解国情吗？戏子就是戏子",2023年06月26日 15:40
4916906211675048,2885334362,"#年轻人恐婚恐育的真正原因是什么#
啥也不是，讲的一堆废话，真的了解国情吗？戏子就是戏子",2023年06月26日 15:40
4916902276629422,5575681225,"#年轻人恐婚恐育的真正原因是什么#
如今越来越多的年轻人恐婚恐育，
@袁弘
和
@张歆艺
表示非常理解，结婚后要多一个中心或以对方为中心，幸福的婚姻要双方相互迁就。
你认为年轻人恐婚恐育的真正原因是什么呢？
#中国婚礼#

L
湖南卫视中国婚礼的微博视频",2023年06月26日 15:25
4916901460051781,1650458690,"#年轻人恐婚恐育的真正原因是什么#
？听君一席话，如同一席话，一句也没说到点上
独生子女吃你家大米啦",2023年06月26日 15:22
4916900330474388,7811036863,"【
#你觉得年轻人不想结婚的原因是什么#
】
#年轻人恐婚恐育的真正原因是什么#
民政部最近公布的数据，2022年，中国结婚登记683.3万对，较上一年减少80.3万对，这是民政部自1986年开始公布结婚登记数据以来的历史新低。如同一条抛物线，自2013年达到1346.93万对的顶峰后，中国结婚登记量连续9年下降，终于在2022年跌破700万对。
你觉得年轻人不想结婚的原因是什么",2023年06月26日 15:17
4916900327590375,7811817491,"【
#你觉得年轻人不想结婚的原因是什么#
】
#年轻人恐婚恐育的真正原因是什么#
民政部最近公布的数据，2022年，中国结婚登记683.3万对，较上一年减少80.3万对，这是民政部自1986年开始公布结婚登记数据以来的历史新低。如同一条抛物线，自2013年达到1346.93万对的顶峰后，中国结婚登记量连续9年下降，终于在2022年跌破700万对。
你觉得年轻人不想结婚的原因是什么",2023年06月26日 15:17
4916900327588561,7805314855,"【
#你觉得年轻人不想结婚的原因是什么#
】
#年轻人恐婚恐育的真正原因是什么#
民政部最近公布的数据，2022年，中国结婚登记683.3万对，较上一年减少80.3万对，这是民政部自1986年开始公布结婚登记数据以来的历史新低。如同一条抛物线，自2013年达到1346.93万对的顶峰后，中国结婚登记量连续9年下降，终于在2022年跌破700万对。
你觉得年轻人不想结婚的原因是什么",2023年06月26日 15:17
4916891888387443,5640225661,"#年轻人恐婚恐育的真正原因是什么#
处理不好家庭关系和看不到未来的希望，在教育医疗养老和私有财产都没有相对安全状态的前提下，活着成为了最大的使命。
年轻人不愿意结婚不愿意生孩子我表示尊重理解，别说都不愿意那人类绝种怎么办？
那绝种就该绝种，不能用宏大的扯淡的口号绑架每一个个体，尊重每一个个体的选择每一个个体的幸福，这就是地球上的目的就是人类的目的。至于地球存不存在人类存不存在，在个体的幸福面前毫无意义。",2023年06月26日 14:44
4916890721324568,3841206585,"#为什么许多年轻人不想结婚#
#为什么许多年轻人不想结婚#
民政部最近公布的数据，2022年，中国结婚登记683.3万对，较上一年减少80.3万对，这是民政部自1986年开始公布结婚登记数据以来的历史新低。如同一条抛物线，自2013年达到1346.93万对的顶峰后，中国结婚登记量连续9年下降，终于在2022年跌破700万对。你认为
#年轻人恐婚恐育的真正原因是什么#
？ 为什么年轻人结婚意愿降低了？",2023年06月26日 14:39
4916888498341870,7289324747,"#年轻人恐婚恐育的真正原因是什么#
不自由",2023年06月26日 14:30
4916887064940577,5277082287,"#为什么许多年轻人不想结婚#
民政部最近公布的数据，2022年，中国结婚登记683.3万对，较上一年减少80.3万对，这是民政部自1986年开始公布结婚登记数据以来的历史新低。如同一条抛物线，自2013年达到1346.93万对的顶峰后，中国结婚登记量连续9年下降，终于在2022年跌破700万对。你认为
#年轻人恐婚恐育的真正原因是什么#
？
为什么年轻人结婚意愿降低了？👀",2023年06月26日 14:24
4916885256930155,1958132051,"【调查 | 你会因为什么而决定结婚？】近日，
#年轻人恐婚恐育的真正原因是什么#
引发讨论。做个调查，你会因为什么而决定结婚？顺便在评论区说说，你觉得
#为什么许多年轻人不想结婚#
？

你会因为什么而决定结婚？",2023年06月26日 14:17
4916885256930155,1958132051,"【调查 | 你会因为什么而决定结婚？】近日，
#年轻人恐婚恐育的真正原因是什么#
引发讨论。做个调查，你会因为什么而决定结婚？顺便在评论区说说，你觉得
#为什么许多年轻人不想结婚#
？

你会因为什么而决定结婚？",2023年06月26日 14:17
4916877485412189,5911225126,"#年轻人恐婚恐育的真正原因是什么#
何不食肉糜？",2023年06月26日 13:46
4916875924606028,7228249980,"#年轻人恐婚恐育的真正原因是什么#
在说啥呢？除了独生子女这个问题其实大多数都没有那么多钱去维护所谓的婚姻，尼玛一地鸡毛的东西还要用钱去维护谁撑得住几年呢？
再者，明星赚的钱比我们多多了，不要总是用自己的眼光代表别人，何不食肉糜这种总该明白吧？",2023年06月26日 13:40
4916865237258521,5819306303,"女性“母亲”身份被看到的同时，她们真正的自我也值得被“看到”！
#年轻人恐婚恐育的真正原因是什么#

L
UP青年的微博视频",2023年06月26日 12:58
4916863592827993,1962938153,"#年轻人恐婚恐育的真正原因是什么#
#中国婚礼#

52年前的一分钱
三分可买一根冰棒，
四分可乘一次电车，
一角可以一次春游……",2023年06月26日 12:51
